instance,family,n,m,p,seed,labelling,algorithm,bitset,mis_count,median_seconds,min_seconds,max_seconds,repeats,recursion_nodes,unproductive_calls,pivot_candidates,pivot_intersections,peak_kib
er_n24_p0.7_s2,er,24,195,0.7,2,random,bk_basic_bit,1,43,0.00012837513349950314,0.00012695789337158203,0.0001351658720523119,5,171,,,,4.6
er_n24_p0.7_s2,er,24,195,0.7,2,random,bk_pivot_bit,1,43,0.000118291936814785,0.00011737504974007607,0.00012620817869901657,5,119,,,,4.6
er_n24_p0.7_s2,er,24,195,0.7,2,random,bk_tomita_bit,1,43,0.00013954099267721176,0.00013887486420571804,0.00014512497000396252,5,94,,,,4.9
er_n24_p0.3_s3,er,24,74,0.3,3,random,bk_basic,0,238,0.003540875157341361,0.0034754169173538685,0.003802540944889188,5,5014,4147,0,0,36.2
er_n24_p0.3_s3,er,24,74,0.3,3,random,bk_pivot,0,238,0.0009412090294063091,0.0009211250580847263,0.0010627079755067825,5,1015,275,2727,0,35.9
er_n24_p0.3_s3,er,24,74,0.3,3,random,bk_tomita,0,238,0.0009445000905543566,0.0009214580059051514,0.0010537910275161266,5,569,13,1291,1291,37.5
er_n24_p0.3_s3,er,24,74,0.3,3,random,bk_pivot_p,0,238,0.0011296658776700497,0.0010986248962581158,0.0012102499604225159,5,1304,550,2324,0,35.9
er_n24_p0.3_s3,er,24,74,0.3,3,random,bk_ikgp,0,238,0.0009926671627908945,0.0009325419086962938,0.0010443329811096191,5,620,62,1277,1277,37.5
er_n24_p0.3_s3,er,24,74,0.3,3,random,bk_basic_bit,1,238,0.0024677079636603594,0.002463500015437603,0.0025048749521374702,5,5014,,,,7.3
er_n24_p0.3_s3,er,24,74,0.3,3,random,bk_pivot_bit,1,238,0.0007445409428328276,0.0007397080771625042,0.0007598330266773701,5,832,,,,7.0
er_n24_p0.3_s3,er,24,74,0.3,3,random,bk_tomita_bit,1,238,0.0008197089191526175,0.00081829191185534,0.0008407500572502613,5,544,,,,7.8
er_n24_p0.5_s3,er,24,135,0.5,3,random,bk_basic,0,102,0.00045316689647734165,0.00043504079803824425,0.0005465000867843628,5,686,421,0,0,30.0
er_n24_p0.5_s3,er,24,135,0.5,3,random,bk_pivot,0,102,0.00029441691003739834,0.0002886250149458647,0.00036708288826048374,5,335,82,739,0,29.9
er_n24_p0.5_s3,er,24,135,0.5,3,random,bk_tomita,0,102,0.0002972499933093786,0.0002859169617295265,0.0003486671485006809,5,200,3,414,414,30.6
er_n24_p0.5_s3,er,24,135,0.5,3,random,bk_pivot_p,0,102,0.0003286669962108135,0.00032166694290935993,0.0003552499692887068,5,404,151,558,0,29.9
er_n24_p0.5_s3,er,24,135,0.5,3,random,bk_ikgp,0,102,0.0002899998798966408,0.0002836671192198992,0.0002995000686496496,5,213,16,372,372,30.6
er_n24_p0.5_s3,er,24,135,0.5,3,random,bk_basic_bit,1,102,0.0004027499817311764,0.0003994160797446966,0.00041508302092552185,5,686,,,,6.4
er_n24_p0.5_s3,er,24,135,0.5,3,random,bk_pivot_bit,1,102,0.00024995882995426655,0.00024874997325241566,0.00025625014677643776,5,263,,,,6.3
er_n24_p0.5_s3,er,24,135,0.5,3,random,bk_tomita_bit,1,102,0.00028695794753730297,0.0002850419841706753,0.00029320805333554745,5,197,,,,6.8
er_n24_p0.7_s3,er,24,193,0.7,3,random,bk_basic,0,44,0.0001313749235123396,0.00012537511065602303,0.0001709158532321453,5,181,84,0,0,25.9
er_n24_p0.7_s3,er,24,193,0.7,3,random,bk_pivot,0,44,0.00011095800437033176,0.00010829116217792034,0.00012595811858773232,5,122,28,207,0,25.8
er_n24_p0.7_s3,er,24,193,0.7,3,random,bk_tomita,0,44,0.0001355838030576706,0.00012866687029600143,0.00015404191799461842,5,90,9,168,168,26.9
er_n24_p0.7_s3,er,24,193,0.7,3,random,bk_pivot_p,0,44,0.00011087511666119099,0.00010754098184406757,0.00011762487702071667,5,124,28,159,0,25.8
er_n24_p0.7_s3,er,24,193,0.7,3,random,bk_ikgp,0,44,0.00012566614896059036,0.0001241669524461031,0.00013391603715717793,5,92,12,141,141,26.9
er_n24_p0.7_s3,er,24,193,0.7,3,random,bk_basic_bit,1,44,0.0001333341933786869,0.000132082961499691,0.00014004111289978027,5,181,,,,5.5
er_n24_p0.7_s3,er,24,193,0.7,3,random,bk_pivot_bit,1,44,0.00011612498201429844,0.00011554104276001453,0.00011962512508034706,5,117,,,,5.4
er_n24_p0.7_s3,er,24,193,0.7,3,random,bk_tomita_bit,1,44,0.00013541686348617077,0.0001346662174910307,0.00013979105278849602,5,89,,,,5.9
ba_n24_m3_s1,ba,24,63,nan,1,random,bk_basic,0,240,0.01377691701054573,0.013729458907619119,0.013991165906190872,5,18778,17630,0,0,46.2
ba_n24_m3_s1,ba,24,63,nan,1,random,bk_pivot,0,240,0.0010169579181820154,0.0009813748765736818,0.0011263340711593628,5,1110,88,3121,0,45.7
ba_n24_m3_s1,ba,24,63,nan,1,random,bk_tomita,0,240,0.0009480828884989023,0.0009168752003461123,0.00106412498280406,5,544,1,1297,1297,47.8
ba_n24_m3_s1,ba,24,63,nan,1,random,bk_pivot_p,0,240,0.0016349998768419027,0.0016068329568952322,0.001728666014969349,5,1886,844,4227,0,45.7
ba_n24_m3_s1,ba,24,63,nan,1,random,bk_ikgp,0,240,0.0009560000617057085,0.0009261660743504763,0.0010388330556452274,5,572,25,1305,1305,47.8
ba_n24_m3_s1,ba,24,63,nan,1,random,bk_basic_bit,1,240,0.008430209010839462,0.00840508402325213,0.008472124813124537,5,18778,,,,8.4
ba_n24_m3_s1,ba,24,63,nan,1,random,bk_pivot_bit,1,240,0.0007990419398993254,0.000792875187471509,0.0008102499414235353,5,861,,,,7.9
ba_n24_m3_s1,ba,24,63,nan,1,random,bk_tomita_bit,1,240,0.0008267080411314964,0.0008216251153498888,0.0008364170789718628,5,514,,,,8.7
ba_n24_m3_s2,ba,24,63,nan,2,random,bk_basic,0,186,0.009243875043466687,0.009183624992147088,0.009332624962553382,5,12396,11620,0,0,46.4
ba_n24_m3_s2,ba,24,63,nan,2,random,bk_pivot,0,186,0.0007946251425892115,0.0007737500127404928,0.0008983749430626631,5,802,176,2513,0,45.7
ba_n24_m3_s2,ba,24,63,nan,2,random,bk_tomita,0,186,0.0007304581813514233,0.0006979161407798529,0.0008186250925064087,5,413,1,997,997,46.2
ba_n24_m3_s2,ba,24,63,nan,2,random,bk_pivot_p,0,186,0.0009760840330272913,0.0009581658523529768,0.001046875026077032,5,1089,451,2205,0,45.7
ba_n24_m3_s2,ba,24,63,nan,2,random,bk_ikgp,0,186,0.0007074580062180758,0.0006949999369680882,0.0007576248608529568,5,413,1,972,972,46.2
ba_n24_m3_s2,ba,24,63,nan,2,random,bk_basic_bit,1,186,0.005567790940403938,0.005557083059102297,0.005624874960631132,5,12396,,,,8.3
ba_n24_m3_s2,ba,24,63,nan,2,random,bk_pivot_bit,1,186,0.0006050840020179749,0.0006017920095473528,0.0006143329665064812,5,673,,,,7.9
ba_n24_m3_s2,ba,24,63,nan,2,random,bk_tomita_bit,1,186,0.0006433748640120029,0.0006375000812113285,0.0006486251950263977,5,407,,,,8.8
ba_n24_m3_s3,ba,24,63,nan,3,random,bk_basic,0,111,0.02215849980711937,0.022122791036963463,0.022345625096932054,5,30124,29540,0,0,50.3
ba_n24_m3_s3,ba,24,63,nan,3,random,bk_pivot,0,111,0.0007373748812824488,0.0007150829769670963,0.0007776669226586819,5,683,115,2689,0,49.8
ba_n24_m3_s3,ba,24,63,nan,3,random,bk_tomita,0,111,0.0005149170756340027,0.0004914170131087303,0.0006471248343586922,5,263,2,730,730,51.9
ba_n24_m3_s3,ba,24,63,nan,3,random,bk_pivot_p,0,111,0.001054875086992979,0.0010114579927176237,0.0010991250164806843,5,1104,531,3269,0,49.8
ba_n24_m3_s3,ba,24,63,nan,3,random,bk_ikgp,0,111,0.0005630420055240393,0.0005390830338001251,0.0006114998832345009,5,263,2,726,726,51.9
ba_n24_m3_s3,ba,24,63,nan,3,random,bk_basic_bit,1,111,0.0128284168895334,0.012824000092223287,0.014415874844416976,5,30124,,,,9.2
ba_n24_m3_s3,ba,24,63,nan,3,random,bk_pivot_bit,1,111,0.0007184578571468592,0.0007170001044869423,0.0007319170981645584,5,993,,,,8.8
ba_n24_m3_s3,ba,24,63,nan,3,random,bk_tomita_bit,1,111,0.00046316697262227535,0.00046279188245534897,0.0004682911094278097,5,279,,,,9.7
ws_n24_s1,ws,24,72,nan,1,random,bk_basic,0,377,0.0019392091780900955,0.0019177498761564493,0.002090916968882084,5,2848,1942,0,0,32.9
ws_n24_s1,ws,24,72,nan,1,random,bk_pivot,0,377,0.0007634169887751341,0.0007428748067468405,0.0008482090197503567,5,909,164,1919,0,32.6
ws_n24_s1,ws,24,72,nan,1,random,bk_tomita,0,377,0.0008658338338136673,0.0008511249907314777,0.0009466670453548431,5,638,11,1166,1166,32.7
ws_n24_s1,ws,24,72,nan,1,random,bk_pivot_p,0,377,0.0009853749070316553,0.0009598750621080399,0.0010532918386161327,5,1238,430,1807,0,32.6
ws_n24_s1,ws,24,72,nan,1,random,bk_ikgp,0,377,0.0009422500152140856,0.0009325828868895769,0.0009978748857975006,5,738,106,1230,1230,32.7
ws_n24_s1,ws,24,72,nan,1,random,bk_basic_bit,1,377,0.00159054109826684,0.001586790895089507,0.0016187499277293682,5,2848,,,,7.0
ws_n24_s1,ws,24,72,nan,1,random,bk_pivot_bit,1,377,0.0007563750259578228,0.0007537920027971268,0.0007631659973412752,5,758,,,,6.7
ws_n24_s1,ws,24,72,nan,1,random,bk_tomita_bit,1,377,0.0009145829826593399,0.0009123750496655703,0.000927165849134326,5,643,,,,7.3
ws_n24_s2,ws,24,72,nan,2,random,bk_basic,0,404,0.001728666014969349,0.00169095816090703,0.0018687078263610601,5,2570,1680,0,0,32.1
ws_n24_s2,ws,24,72,nan,2,random,bk_pivot,0,404,0.0007583750411868095,0.0007380000315606594,0.0008267499506473541,5,932,210,1640,0,31.3
ws_n24_s2,ws,24,72,nan,2,random,bk_tomita,0,404,0.0008556251414120197,0.0008350000716745853,0.000925291795283556,5,641,0,1100,1100,31.4
ws_n24_s2,ws,24,72,nan,2,random,bk_pivot_p,0,404,0.0008654170669615269,0.0008546668104827404,0.0009072090033441782,5,1116,369,1541,0,31.3
ws_n24_s2,ws,24,72,nan,2,random,bk_ikgp,0,404,0.0009298750665038824,0.00091758300550282,0.0009701249655336142,5,736,93,1187,1187,31.4
ws_n24_s2,ws,24,72,nan,2,random,bk_basic_bit,1,404,0.0014802920632064342,0.0014680828899145126,0.0015003748703747988,5,2570,,,,6.6
ws_n24_s2,ws,24,72,nan,2,random,bk_pivot_bit,1,404,0.0007419579196721315,0.0007412908598780632,0.0007545000407844782,5,735,,,,6.3
ws_n24_s2,ws,24,72,nan,2,random,bk_tomita_bit,1,404,0.0009531250689178705,0.0009458749555051327,0.0009631249122321606,5,696,,,,6.8
ws_n24_s3,ws,24,72,nan,3,random,bk_basic,0,368,0.002142125042155385,0.0020874999463558197,0.002334540942683816,5,3126,2097,0,0,33.9
ws_n24_s3,ws,24,72,nan,3,random,bk_pivot,0,368,0.000934625044465065,0.0009086248464882374,0.0010423329658806324,5,1081,178,2468,0,33.1
ws_n24_s3,ws,24,72,nan,3,random,bk_tomita,0,368,0.0007990407757461071,0.0007776250131428242,0.0008848751895129681,5,589,0,1060,1060,34.7
